1
100000 100000
IG 7.77% 52.06% 4.52%
IH 81.75% 64.64% 64.30%
II 69.89% 44.39% 39.53%
IJ 54.96% 47.33% 92.40%
JA 96.22% 43.91% 87.07%
JB 35.42% 62.52% 45.21%
JC 1.90% 81.49% 8.90%
JD 41.62% 25.12% 63.87%
JE 82.49% 47.17% 12.70%
JF 6.62% 13.54% 64.36%
JG 69.47% 28.86% 46.61%
JH 34.11% 3.94% 65.17%
JI 78.50% 43.47% 46.92%
JJ 36.61% 46.65% 27.59%
BAA 80.52% 33.71% 82.55%
BAB 53.82% 89.72% 78.76%
BAC 35.31% 9.40% 24.97%
BAD 71.22% 73.27% 26.87%
BAE 29.18% 96.76% 68.49%
BAF 53.51% 61.12% 50.98%
BAG 82.37% 18.51% 68.39%
BAH 97.11% 94.48% 37.85%
BAI 51.36% 52.18% 82.75%
BAJ 98.02% 79.77% 72.03%
BBA 42.51% 62.31% 8.63%
BBB 43.01% 51.85% 99.94%
BBC 52.41% 76.82% 64.55%
BBD 36.47% 14.47% 10.64%
BBE 33.22% 82.97% 92.65%
BBF 5.12% 44.73% 21.82%
BBG 23.64% 13.11% 75.34%
BBH 18.11% 61.75% 68.49%
BBI 70.29% 55.29% 65.59%
BBJ 60.84% 27.31% 16.95%
BCA 23.14% 46.74% 25.75%
BCB 85.78% 57.46% 79.05%
BCC 62.60% 22.00% 22.06%
BCD 87.86% 32.64% 85.26%
BCE 70.82% 36.08% 21.72%
BCF 26.33% 57.90% 54.95%
BCG 50.23% 33.23% 60.07%
BCH 11.98% 1.72% 94.50%
BCI 67.27% 78.10% 23.39%
BCJ 5.36% 5.83% 4.46%
BDA 52.10% 31.58% 65.30%
BDB 20.35% 21.42% 99.23%
BDC 42.35% 43.48% 85.01%
BDD 85.79% 39.52% 58.39%
BDE 21.86% 61.25% 46.24%
BDF 79.76% 26.98% 27.85%
BDG 23.78% 97.84% 54.18%
BDH 36.29% 92.34% 4.41%
BDI 25.17% 15.72% 27.18%
BDJ 31.01% 20.19% 5.23%
BEA 62.59% 96.28% 10.59%
BEB 84.01% 95.51% 73.49%
BEC 38.27% 80.51% 93.84%
BED 77.80% 49.68% 46.97%
BEE 49.83% 95.92% 32.75%
BEF 76.81% 34.55% 65.40%
BEG 74.64% 88.74% 55.95%
BEH 77.76% 3.93% 79.73%
BEI 4.27% 31.11% 26.80%
BEJ 35.25% 36.34% 51.97%
BFA 31.52% 57.72% 82.98%
BFB 27.02% 31.20% 56.36%
BFC 18.31% 25.03% 51.15%
BFD 67.99% 72.01% 89.43%
BFE 74.70% 15.54% 78.01%
BFF 9.24% 80.95% 38.62%
BFG 8.76% 36.89% 15.42%
BFH 12.69% 27.40% 0.84%
BFI 54.59% 54.20% 78.61%
BFJ 90.93% 16.95% 93.67%
BGA 48.65% 99.94% 28.91%
BGB 90.64% 67.08% 60.43%
BGC 15.67% 18.22% 98.25%
BGD 98.47% 18.43% 16.55%
BGE 14.00% 96.44% 95.34%
BGF 5.73% 35.05% 80.82%
BGG 42.62% 61.26% 0.84%
BGH 80.81% 62.11% 9.61%
BGI 35.00% 51.50% 33.09%
BGJ 51.96% 45.16% 87.69%
BHA 62.68% 74.07% 89.40%
BHB 29.75% 45.28% 38.04%
BHC 47.97% 43.52% 28.68%
BHD 66.41% 70.87% 55.14%
BHE 73.63% 76.99% 53.60%
BHF 19.47% 57.80% 78.39%
BHG 91.52% 58.64% 84.13%
BHH 64.41% 79.04% 37.53%
BHI 15.90% 12.13% 18.34%
BHJ 71.85% 10.60% 64.13%
BIA 56.70% 100.00% 26.87%
BIB 12.77% 48.83% 0.33%
BIC 56.29% 88.30% 30.08%
BID 37.94% 54.22% 88.85%
BIE 14.92% 18.60% 66.04%
BIF 83.51% 96.99% 50.45%
BIG 52.94% 91.90% 80.71%
BIH 31.97% 40.22% 72.23%
BII 54.89% 58.56% 36.63%
BIJ 65.49% 33.47% 63.33%
BJA 76.28% 71.14% 45.96%
BJB 35.89% 71.47% 2.66%
BJC 24.18% 1.55% 15.43%
BJD 78.40% 1.18% 82.51%
BJE 97.00% 67.22% 20.45%
BJF 4.76% 28.45% 46.16%
BJG 96.67% 9.16% 40.46%
BJH 36.88% 81.39% 93.40%
BJI 6.22% 28.80% 36.15%
BJJ 50.48% 92.13% 91.05%
CAA 21.61% 38.09% 67.32%
CAB 93.09% 51.54% 54.38%
CAC 5.42% 77.76% 90.27%
CAD 6.60% 60.26% 25.23%
CAE 84.61% 91.50% 14.41%
CAF 23.84% 48.45% 22.19%
CAG 33.00% 88.91% 26.96%
CAH 25.17% 93.09% 34.41%
CAI 64.77% 29.23% 82.08%
CAJ 56.89% 31.06% 99.09%
CBA 5.76% 98.39% 49.56%
CBB 68.09% 63.55% 71.18%
CBC 45.84% 53.82% 75.05%
CBD 16.89% 89.84% 80.47%
CBE 8.38% 4.25% 97.86%
CBF 67.62% 26.44% 93.25%
CBG 56.52% 64.19% 17.08%
CBH 49.60% 98.60% 60.88%
CBI 89.63% 91.46% 96.84%
CBJ 20.68% 90.54% 61.60%
CCA 19.06% 50.89% 29.28%
CCB 93.41% 32.85% 45.83%
CCC 47.22% 7.89% 13.92%
CCD 47.84% 99.15% 70.55%
CCE 52.09% 7.78% 87.44%
CCF 78.54% 11.81% 6.61%
CCG 53.51% 39.68% 74.23%
CCH 52.11% 0.55% 41.54%
CCI 54.35% 97.40% 1.92%
CCJ 44.89% 69.78% 91.55%
CDA 95.78% 99.06% 12.23%
CDB 39.41% 44.89% 42.08%
CDC 47.30% 58.81% 35.48%
CDD 57.23% 29.35% 93.49%
CDE 65.01% 27.58% 41.33%
CDF 87.61% 34.19% 4.20%
CDG 27.28% 19.20% 93.53%
CDH 38.63% 60.74% 47.04%
CDI 46.81% 62.67% 99.15%
CDJ 16.58% 65.00% 53.49%
CEA 15.64% 88.02% 9.16%
CEB 60.53% 30.10% 15.72%
CEC 30.12% 76.37% 55.13%
CED 70.26% 80.65% 13.21%
CEE 97.84% 32.76% 70.44%
CEF 42.81% 36.96% 46.23%
CEG 62.02% 30.49% 33.83%
CEH 33.54% 77.53% 61.12%
CEI 6.99% 87.46% 99.75%
CEJ 72.00% 51.73% 46.55%
CFA 60.01% 60.90% 73.92%
CFB 0.89% 87.41% 89.56%
CFC 88.06% 42.54% 60.87%
CFD 68.70% 66.54% 1.77%
CFE 1.45% 36.98% 72.04%
CFF 38.41% 83.21% 80.66%
CFG 79.69% 27.83% 34.26%
CFH 57.21% 99.74% 7.06%
CFI 44.66% 99.48% 40.60%
CFJ 7.18% 56.81% 47.60%
CGA 68.08% 30.72% 30.38%
CGB 66.27% 31.07% 1.17%
CGC 19.59% 91.94% 2.07%
CGD 86.14% 93.72% 90.13%
CGE 23.11% 76.54% 69.61%
CGF 17.10% 67.98% 81.85%
CGG 55.72% 2.23% 20.25%
CGH 55.45% 9.29% 99.95%
CGI 54.92% 60.69% 67.94%
CGJ 22.51% 8.28% 23.39%
CHA 53.24% 38.66% 30.57%
CHB 84.31% 39.83% 9.43%
CHC 87.03% 52.69% 75.70%
CHD 91.53% 53.60% 95.30%
CHE 78.85% 33.99% 81.43%
CHF 46.83% 15.83% 15.32%
CHG 59.85% 36.09% 43.21%
CHH 79.94% 46.82% 98.94%
CHI 40.62% 14.75% 54.38%
CHJ 59.69% 48.93% 20.09%
CIA 9.13% 79.50% 42.60%
CIB 59.75% 88.93% 6.62%
CIC 23.23% 64.63% 1.71%
CID 76.83% 70.71% 88.75%
CIE 10.82% 52.13% 80.27%
CIF 37.44% 78.24% 59.12%
CIG 73.53% 21.44% 16.73%
CIH 31.13% 20.37% 87.37%
CII 56.68% 74.76% 67.30%
CIJ 5.60% 94.85% 18.70%
CJA 85.11% 48.23% 78.39%
CJB 84.82% 54.86% 98.31%
CJC 49.44% 56.57% 58.06%
CJD 20.14% 45.31% 81.29%
CJE 83.06% 36.37% 68.90%
CJF 61.29% 6.27% 90.51%
CJG 82.74% 33.79% 27.95%
CJH 13.89% 21.15% 12.26%
CJI 88.65% 88.46% 54.19%
CJJ 94.28% 17.94% 10.86%
DAA 42.51% 7.12% 27.25%
DAB 8.15% 5.42% 23.14%
DAC 64.72% 74.27% 7.96%
DAD 20.82% 66.34% 57.40%
DAE 67.98% 35.24% 88.34%
DAF 74.25% 36.53% 82.18%
DAG 8.03% 75.27% 43.47%
DAH 29.18% 87.54% 36.99%
DAI 28.42% 52.51% 50.88%
DAJ 46.37% 63.37% 50.32%
DBA 53.49% 1.40% 55.38%
DBB 69.70% 24.55% 8.67%
DBC 43.97% 32.51% 16.82%
DBD 10.30% 0.69% 92.34%
DBE 56.33% 99.82% 13.15%
DBF 3.65% 82.00% 81.13%
DBG 78.92% 36.25% 66.16%
DBH 77.24% 73.24% 84.98%
DBI 29.74% 34.90% 14.15%
DBJ 3.89% 96.01% 53.37%
DCA 5.30% 51.39% 10.52%
DCB 29.85% 60.06% 74.80%
DCC 62.36% 87.68% 44.49%
DCD 73.84% 80.01% 99.25%
DCE 73.66% 93.16% 20.34%
DCF 55.65% 85.07% 76.67%
DCG 91.90% 62.01% 91.11%
DCH 75.92% 46.98% 70.03%
DCI 21.60% 61.13% 58.05%
DCJ 17.61% 25.28% 87.80%
DDA 79.79% 35.80% 91.69%
DDB 50.63% 10.59% 7.77%
DDC 38.30% 65.88% 37.62%
DDD 18.30% 65.12% 10.76%
DDE 22.24% 85.46% 84.61%
DDF 18.09% 72.92% 69.05%
DDG 80.10% 64.02% 24.69%
DDH 27.07% 44.83% 27.37%
DDI 99.00% 2.88% 14.07%
DDJ 24.27% 1.46% 46.46%
DEA 70.87% 93.15% 64.07%
DEB 92.25% 11.71% 54.64%
DEC 58.12% 49.33% 5.27%
DED 34.03% 70.89% 43.57%
DEE 19.48% 66.28% 72.67%
DEF 92.40% 35.32% 94.91%
DEG 67.21% 60.01% 23.79%
DEH 12.03% 98.17% 3.88%
DEI 14.91% 12.23% 30.96%
DEJ 27.16% 69.48% 40.74%
DFA 31.10% 33.55% 65.01%
DFB 42.81% 98.98% 46.66%
DFC 2.92% 4.24% 38.91%
DFD 73.81% 58.61% 7.81%
DFE 40.08% 31.27% 41.84%
DFF 75.40% 36.96% 72.12%
DFG 46.19% 60.75% 75.30%
DFH 44.35% 75.43% 42.50%
DFI 67.37% 17.17% 54.54%
DFJ 36.85% 57.91% 80.24%
DGA 81.19% 33.70% 7.40%
DGB 90.95% 80.37% 38.50%
DGC 95.20% 30.06% 92.10%
DGD 64.59% 37.87% 95.02%
DGE 95.86% 90.51% 68.83%
DGF 43.60% 62.62% 19.69%
DGG 15.14% 37.91% 95.10%
DGH 90.57% 91.21% 52.07%
DGI 18.52% 45.74% 7.21%
DGJ 76.43% 36.76% 85.37%
DHA 10.12% 54.95% 33.00%
DHB 90.49% 4.23% 24.97%
DHC 31.33% 96.33% 15.92%
DHD 69.21% 2.13% 11.11%
DHE 70.50% 70.96% 75.70%
DHF 33.11% 1.43% 82.34%
DHG 81.81% 7.31% 36.72%
DHH 73.01% 59.39% 51.86%
DHI 29.53% 66.60% 53.21%
DHJ 77.09% 62.75% 71.73%
DIA 32.03% 95.76% 58.94%
DIB 47.06% 20.72% 69.07%
DIC 54.17% 36.64% 70.34%
DID 56.30% 58.54% 1.67%
DIE 38.04% 34.23% 81.67%
DIF 39.48% 27.35% 52.16%
DIG 46.79% 64.08% 96.06%
DIH 16.96% 26.72% 88.65%
DII 94.35% 90.73% 61.66%
DIJ 57.10% 73.24% 1.97%
DJA 52.85% 32.18% 79.06%
DJB 84.36% 12.03% 21.88%
DJC 21.00% 82.37% 68.94%
DJD 79.54% 94.83% 33.89%
DJE 24.56% 76.49% 90.20%
DJF 51.91% 39.43% 39.02%
DJG 15.98% 46.27% 89.29%
DJH 53.50% 34.92% 36.08%
DJI 44.22% 7.36% 63.83%
DJJ 17.45% 9.33% 58.18%
EAA 49.63% 88.40% 15.27%
EAB 61.66% 10.27% 78.91%
EAC 54.82% 90.00% 63.26%
EAD 49.64% 23.88% 95.05%
EAE 36.92% 24.86% 74.59%
EAF 87.14% 63.89% 9.93%
EAG 33.41% 63.96% 61.84%
EAH 79.12% 0.03% 88.62%
EAI 86.48% 74.66% 42.11%
EAJ 6.59% 32.83% 97.12%
EBA 94.99% 58.89% 14.56%
EBB 16.04% 48.58% 74.99%
EBC 6.03% 11.83% 47.43%
EBD 40.71% 17.67% 13.03%
EBE 65.57% 3.04% 73.47%
EBF 40.24% 12.97% 10.38%
EBG 4.20% 74.81% 97.52%
EBH 15.02% 74.21% 41.71%
EBI 89.68% 27.10% 31.61%
EBJ 33.29% 24.21% 18.08%
ECA 92.18% 49.57% 24.68%
ECB 40.75% 24.55% 30.45%
ECC 63.38% 82.77% 46.50%
ECD 91.84% 6.59% 63.32%
ECE 94.88% 80.06% 4.02%
ECF 7.84% 90.44% 80.39%
ECG 93.44% 98.74% 20.62%
ECH 67.65% 51.24% 35.61%
ECI 94.75% 82.85% 61.43%
ECJ 18.96% 11.72% 51.10%
EDA 79.32% 47.19% 95.19%
EDB 14.65% 77.64% 98.15%
EDC 97.42% 34.92% 49.69%
EDD 4.00% 98.25% 13.06%
EDE 84.06% 2.26% 15.68%
EDF 85.28% 82.65% 10.55%
EDG 94.81% 14.06% 18.39%
EDH 46.04% 49.67% 22.61%
EDI 28.88% 11.09% 90.26%
EDJ 51.39% 72.99% 95.80%
EEA 98.58% 68.17% 25.54%
EEB 76.22% 77.10% 4.85%
EEC 21.92% 26.78% 19.50%
EED 20.16% 50.63% 27.70%
EEE 22.43% 66.31% 42.50%
EEF 15.86% 76.86% 26.55%
EEG 29.92% 6.03% 22.62%
EEH 90.39% 28.65% 17.42%
EEI 12.26% 29.69% 63.46%
EEJ 96.04% 25.48% 3.12%
EFA 74.99% 61.81% 54.52%
EFB 52.09% 66.66% 63.88%
EFC 78.87% 96.95% 40.09%
EFD 29.50% 24.65% 72.81%
EFE 95.81% 67.15% 92.97%
EFF 83.46% 4.48% 26.18%
EFG 89.49% 37.89% 42.05%
EFH 28.92% 55.31% 82.76%
EFI 58.62% 29.55% 83.93%
EFJ 94.89% 32.68% 96.20%
EGA 56.70% 97.99% 92.23%
EGB 34.14% 61.86% 67.22%
EGC 41.88% 12.74% 19.30%
EGD 66.53% 85.55% 98.17%
EGE 44.46% 78.51% 38.45%
EGF 59.73% 15.48% 34.26%
EGG 97.63% 57.53% 17.71%
EGH 52.93% 51.07% 17.98%
EGI 82.49% 35.00% 57.70%
EGJ 25.95% 31.19% 16.31%
EHA 23.93% 34.20% 21.98%
EHB 96.58% 1.41% 89.47%
EHC 9.31% 31.50% 34.40%
EHD 94.86% 40.46% 76.28%
EHE 84.16% 78.91% 53.59%
EHF 99.64% 13.16% 98.05%
EHG 67.95% 41.66% 57.77%
EHH 19.01% 70.44% 55.39%
EHI 64.80% 28.13% 8.32%
EHJ 6.77% 55.23% 1.59%
EIA 40.98% 77.21% 27.54%
EIB 53.18% 77.47% 62.26%
EIC 95.48% 11.86% 58.83%
EID 35.93% 98.93% 78.94%
EIE 14.83% 52.51% 73.79%
EIF 38.79% 50.55% 68.73%
EIG 91.24% 19.10% 79.15%
EIH 61.67% 85.29% 57.88%
EII 89.80% 4.39% 87.69%
EIJ 45.02% 5.98% 52.48%
EJA 33.02% 44.31% 59.26%
EJB 21.27% 6.56% 11.02%
EJC 43.92% 76.18% 64.20%
EJD 42.84% 55.11% 59.67%
EJE 95.35% 39.69% 6.38%
EJF 56.68% 19.20% 21.22%
EJG 86.57% 98.36% 70.80%
EJH 71.85% 56.23% 62.03%
EJI 76.24% 43.91% 23.70%
EJJ 93.01% 7.18% 24.28%
FAA 37.31% 66.44% 69.31%
FAB 54.66% 77.46% 13.11%
FAC 30.84% 52.44% 34.38%
FAD 85.95% 22.90% 78.30%
FAE 36.42% 29.28% 21.13%
FAF 55.63% 61.29% 27.26%
FAG 53.98% 32.08% 94.73%
FAH 20.99% 4.90% 92.08%
FAI 75.70% 28.60% 63.93%
FAJ 82.88% 52.88% 50.95%
FBA 60.10% 32.97% 43.96%
FBB 48.34% 46.08% 81.27%
FBC 0.77% 80.46% 46.72%
FBD 34.46% 69.54% 77.56%
FBE 74.54% 1.45% 74.29%
FBF 35.82% 28.71% 21.50%
FBG 78.70% 34.22% 77.13%
FBH 83.60% 26.30% 41.89%
FBI 12.19% 1.01% 62.88%
FBJ 75.86% 62.75% 49.36%
FCA 19.62% 6.70% 32.23%
FCB 65.70% 98.77% 3.11%
FCC 56.95% 45.48% 51.45%
FCD 37.27% 33.82% 63.02%
FCE 38.73% 18.89% 97.48%
FCF 67.44% 40.39% 72.01%
FCG 12.45% 17.51% 18.62%
FCH 49.54% 70.19% 97.32%
FCI 61.34% 43.86% 91.70%
FCJ 24.08% 93.22% 14.67%
FDA 30.79% 36.24% 90.53%
FDB 40.34% 39.35% 10.14%
FDC 96.61% 90.81% 86.64%
FDD 30.42% 53.82% 54.37%
FDE 60.10% 62.08% 91.64%
FDF 0.49% 34.09% 30.36%
FDG 28.79% 63.50% 8.59%
FDH 98.99% 71.60% 31.83%
FDI 42.84% 63.29% 81.37%
FDJ 46.84% 77.96% 42.70%
FEA 83.08% 79.27% 77.57%
FEB 22.43% 89.42% 19.14%
FEC 13.23% 86.84% 59.48%
FED 67.05% 51.99% 56.08%
FEE 29.12% 43.62% 97.29%
FEF 74.00% 84.78% 68.18%
FEG 48.28% 4.15% 79.46%
FEH 19.87% 35.98% 8.24%
FEI 83.16% 17.34% 18.01%
FEJ 61.11% 70.83% 71.64%
FFA 40.38% 59.18% 18.48%
FFB 40.58% 78.33% 1.55%
FFC 38.20% 37.80% 23.98%
FFD 90.19% 4.67% 48.00%
FFE 44.59% 12.74% 25.83%
FFF 29.36% 91.71% 65.75%
FFG 33.51% 71.16% 39.74%
FFH 80.28% 90.20% 98.82%
FFI 8.40% 8.20% 18.68%
FFJ 79.23% 90.64% 12.63%
FGA 38.41% 9.11% 84.53%
FGB 27.52% 21.45% 35.69%
FGC 76.11% 56.23% 76.27%
FGD 80.78% 4.22% 25.25%
FGE 4.31% 30.06% 26.22%
FGF 96.02% 95.81% 70.82%
FGG 77.97% 46.33% 10.96%
FGH 68.16% 55.93% 55.27%
FGI 87.15% 74.62% 35.54%
FGJ 77.78% 98.04% 43.95%
FHA 97.68% 82.56% 33.96%
FHB 19.13% 18.25% 83.16%
FHC 86.15% 5.30% 10.67%
FHD 1.15% 41.35% 86.79%
FHE 31.21% 67.57% 78.35%
FHF 37.80% 38.38% 93.45%
FHG 94.93% 49.35% 89.47%
FHH 61.64% 15.40% 67.43%
FHI 47.04% 50.94% 46.37%
FHJ 45.07% 5.67% 33.51%
FIA 27.63% 39.64% 11.29%
FIB 56.67% 33.58% 8.96%
FIC 61.97% 44.26% 38.88%
FID 3.31% 41.83% 25.02%
FIE 81.68% 20.17% 26.18%
FIF 20.05% 13.62% 68.18%
FIG 80.19% 13.87% 16.77%
FIH 95.59% 92.09% 22.48%
FII 57.32% 38.45% 84.12%
FIJ 62.99% 71.96% 31.16%
FJA 13.41% 94.04% 87.02%
FJB 47.00% 13.79% 14.64%
FJC 2.04% 52.67% 82.10%
FJD 43.87% 88.49% 54.86%
FJE 74.83% 25.45% 68.96%
FJF 99.24% 4.41% 50.63%
FJG 23.89% 21.18% 70.69%
FJH 15.97% 54.45% 61.66%
FJI 65.21% 49.36% 68.04%
FJJ 47.96% 91.31% 36.14%
GAA 41.99% 78.32% 9.91%
GAB 55.78% 3.75% 23.33%
GAC 19.24% 85.85% 81.12%
GAD 7.72% 40.70% 83.16%
GAE 33.17% 9.66% 37.81%
GAF 37.58% 60.29% 23.42%
GAG 69.56% 41.76% 22.66%
GAH 34.79% 14.21% 46.55%
GAI 84.15% 82.25% 73.32%
GAJ 75.45% 29.17% 38.52%
GBA 53.77% 39.08% 97.27%
GBB 68.31% 73.20% 39.26%
GBC 54.15% 54.31% 5.82%
GBD 94.86% 48.25% 25.06%
GBE 15.30% 96.85% 43.57%
GBF 75.59% 20.27% 76.74%
GBG 28.14% 42.93% 25.11%
GBH 42.35% 0.26% 5.45%
GBI 35.38% 73.58% 40.24%
GBJ 64.55% 22.89% 35.18%
GCA 3.62% 20.15% 21.41%
GCB 76.83% 70.20% 75.18%
GCC 41.92% 86.82% 54.27%
GCD 90.18% 11.87% 8.42%
GCE 87.02% 55.45% 14.06%
GCF 18.07% 42.97% 29.36%
GCG 61.00% 78.87% 15.73%
GCH 72.06% 84.32% 43.87%
GCI 45.63% 35.35% 97.01%
GCJ 79.31% 70.53% 32.38%
GDA 10.25% 91.94% 7.71%
GDB 91.24% 77.91% 11.34%
GDC 78.05% 32.17% 98.96%
GDD 89.93% 51.38% 51.66%
GDE 56.16% 65.44% 52.62%
GDF 99.13% 94.80% 50.43%
GDG 88.79% 10.53% 68.50%
GDH 73.10% 65.19% 40.29%
GDI 19.23% 62.20% 12.34%
GDJ 0.54% 94.58% 68.76%
GEA 92.49% 2.29% 48.07%
GEB 81.18% 24.42% 69.11%
GEC 24.13% 34.16% 60.34%
GED 75.52% 85.82% 49.18%
GEE 40.95% 49.23% 49.89%
GEF 46.54% 99.66% 6.04%
GEG 57.07% 68.15% 15.95%
GEH 22.25% 8.43% 15.52%
GEI 84.45% 20.77% 88.63%
GEJ 89.82% 89.54% 18.64%
GFA 2.89% 48.39% 19.19%
GFB 27.31% 28.28% 22.46%
GFC 72.26% 99.41% 3.63%
GFD 68.86% 48.58% 38.55%
GFE 18.08% 98.47% 14.06%
GFF 17.73% 15.29% 65.81%
GFG 85.89% 42.04% 12.34%
GFH 5.10% 57.56% 69.41%
GFI 25.88% 56.97% 2.44%
GFJ 26.20% 75.62% 97.69%
GGA 85.38% 5.59% 87.50%
GGB 13.65% 28.05% 90.39%
GGC 13.05% 31.68% 28.48%
GGD 72.43% 70.23% 11.52%
GGE 81.68% 95.09% 80.38%
GGF 7.76% 60.89% 98.47%
GGG 60.59% 73.23% 16.19%
GGH 28.93% 53.42% 12.86%
GGI 85.91% 55.86% 17.97%
GGJ 72.31% 64.33% 54.64%
GHA 88.69% 51.82% 80.84%
GHB 16.73% 52.99% 66.21%
GHC 59.20% 92.26% 90.65%
GHD 40.21% 3.77% 3.69%
GHE 35.29% 84.16% 86.91%
GHF 6.96% 93.41% 68.59%
GHG 80.19% 9.59% 76.35%
GHH 44.39% 22.46% 36.93%
GHI 0.25% 51.22% 65.86%
GHJ 75.37% 5.85% 62.55%
GIA 27.19% 86.69% 45.64%
GIB 90.97% 63.68% 34.32%
GIC 94.02% 54.32% 51.05%
GID 97.79% 68.80% 21.03%
GIE 92.73% 55.71% 61.25%
GIF 86.13% 35.08% 96.54%
GIG 6.51% 11.42% 3.50%
GIH 39.76% 59.14% 94.48%
GII 90.98% 24.99% 38.87%
GIJ 96.83% 98.34% 49.91%
GJA 94.30% 54.76% 25.27%
GJB 57.97% 89.09% 63.25%
GJC 23.07% 50.92% 54.22%
GJD 91.87% 71.96% 59.02%
GJE 58.36% 33.20% 56.80%
GJF 93.44% 40.52% 60.32%
GJG 15.64% 44.02% 57.23%
GJH 74.78% 49.29% 63.74%
GJI 10.56% 88.16% 3.49%
GJJ 19.68% 48.85% 94.47%
HAA 74.44% 84.91% 2.07%
HAB 63.52% 48.16% 96.37%
HAC 25.23% 13.16% 54.33%
HAD 97.19% 72.18% 88.19%
HAE 41.17% 39.76% 90.85%
HAF 81.69% 10.86% 49.20%
HAG 36.50% 68.10% 53.43%
HAH 85.79% 42.62% 79.86%
HAI 84.73% 46.12% 54.64%
HAJ 33.57% 51.37% 75.99%
HBA 18.47% 64.24% 95.67%
HBB 77.42% 60.60% 80.89%
HBC 90.58% 25.72% 44.41%
HBD 73.54% 13.90% 80.43%
HBE 24.09% 4.74% 77.61%
HBF 34.95% 64.74% 18.77%
HBG 3.04% 28.95% 0.45%
HBH 45.67% 8.80% 36.95%
HBI 2.57% 63.44% 33.52%
HBJ 64.73% 50.21% 18.24%
HCA 28.96% 56.66% 62.60%
HCB 0.35% 37.55% 91.87%
HCC 26.07% 92.75% 69.28%
HCD 50.76% 73.17% 70.65%
HCE 55.51% 50.77% 54.97%
HCF 31.03% 80.33% 79.06%
HCG 59.98% 91.57% 14.01%
HCH 68.78% 28.52% 27.84%
HCI 43.01% 72.83% 84.30%
HCJ 93.22% 91.08% 86.87%
HDA 60.67% 53.67% 62.39%
HDB 98.22% 45.53% 91.35%
HDC 90.96% 25.60% 2.48%
HDD 64.12% 7.03% 28.55%
HDE 25.67% 62.00% 79.32%
HDF 5.99% 41.06% 45.61%
HDG 97.56% 65.86% 87.43%
HDH 36.86% 93.70% 47.40%
HDI 9.69% 78.00% 26.96%
