552C 87C 99g 566g 17C
35% 298g 35% 805g 428C
28% 65% 197C 672C 445g
25% 58% 127C 421g 0%
334C 159g 57% 7% 4%
716C 850g 82% 15% 173g
506g 364g 63% 172C 27%
28% 280g 856g 341C 352g
511C 17% 6% 112C 37%
667g 489g 154C 75% 141g
38% 42% 16% 760C 2%
14% 886g 71% 535C 621g
790C 9% 673C 83% 295C
13% 44% 355g 13% 156C
933C 286C 358g 40% 181g
90% 50C 4% 364g 624C
919C 44% 238g 976C 19C
343g 956g 475C 11g 12%
29% 868g 2C 57% 216C
77% 472C 957C 125C 13%
418g 153g 74% 393g 948C
30C 559g 160C 24% 280C
2% 480C 5% 140C 49%
57% 22% 220g 0% 13%
270g 667g 671g 743g 899g
88C 386g 32% 62% 0%
63% 279C 23% 5% 5%
330g 515C 15% 881g 634g
387g 87% 5% 742g 244C
39% 63g 353C 269g 53%
799g 19% 77% 853C 450C
2% 562C 610C 70% 23%
829C 816C 821g 5% 9%
528g 47% 45g 23% 551g
386C 426C 94% 0% 92C
664C 820C 166g 354g 37%
84% 312g 9% 3% 0%
745C 22% 41% 559C 16%
71% 925C 10% 89C 566g
812g 196g 33% 186C 370g
68% 141C 639C 7% 590C
2% 21% 257g 571C 58%
225C 40% 972C 634C 725g
952C 472g 339g 83% 661g
42% 339C 344C 330C 294C
57% 860C 292C 32% 990C
635C 598g 41% 570g 540g
1% 800g 92% 4% 0%
304g 6% 523C 349C 530g
704C 986C 25% 591g 7%
31% 45% 53C 3% 819g
81% 768C 639g 438g 7%
680C 486C 52% 98g 2%
179C 66C 425C 978g 966C
748g 272C 86g 159g 0%
197g 3% 951C 498C 90%
6% 3g 784g 797g 633C
560C 14g 97% 2% 329C
-
79% 316g 11% 765g 0%
892C 629g 752C 66% 395C
428g 847g 26g 62C 629C
100g 397C 75% 19% 320C
518C 794C 34% 10% 6%
686C 432g 807g 834g 596C
84% 4% 465g 716C 3%
187g 602g 60% 879C 941C
924C 135g 162C 70% 163C
811g 15% 44% 9% 693g
339C 494C 213g 382g 475C
38% 951g 811C 168g 813C
499C 535C 464g 346C 72g
740C 623C 57C 793C 81%
14% 371C 596g 73% 4%
800g 674C 433g 57% 949g
523g 92% 5% 1% 140g
43% 51% 25g 653C 52C
57% 287C 540g 826g 8%
78% 15% 4% 520g 221C
883C 67% 20% 511C 553g
8% 72% 198C 968C 9g
503g 254C 57% 823g 396g
942C 12C 855C 54% 42%
81% 973C 638C 413g 899g
484C 61% 780C 14% 0%
0% 52% 504g 47% 525g
117g 36% 560C 22% 937C
48% 620g 863C 832g 4C
458C 127g 68% 569g 341g
74% 605g 17% 989g 490C
732C 699g 0g 457C 348C
17C 169C 569g 128g 18C
85% 0% 754g 707C 5%
21C 788C 190g 34% 17%
61% 142g 191C 520g 554C
142g 930C 34C 8% 780g
644g 545C 522g 925C 735C
492g 296C 530g 49% 512g
589C 48% 428C 557g 576g
97% 139C 5C 782g 523g
36% 417g 1% 724C 55%
10% 242g 64% 23% 111C
410C 790C 955g 916g 781C
58% 6% 901g 34% 265C
566C 69% 16% 11% 2%
97% 1% 0% 0% 8g
277g 136C 693C 946C 367C
96% 0% 95C 950g 802g
-
51% 17% 447C 676C 169C
563C 931g 80% 297g 8%
96% 401C 69g 416g 582g
682C 502g 23% 790C 23%
946C 447g 2% 549g 66%
13C 563C 90% 4% 36C
384g 209g 700C 39% 835C
450C 926C 362g 78% 5%
-
944g 769C 977g 257C 42%
472C 95% 265g 249g 467C
58% 302C 17% 38C 14C
33% 58% 8% 659C 495g
313C 718g 29% 892C 443g
7% 9% 13% 96g 856g
699g 69g 195C 889g 69%
8% 704g 295g 414C 364g
251g 10% 738g 193g 626g
945C 394C 6% 456C 795g
784C 860g 882C 573g 695g
5% 26% 863g 790C 290g
61% 93g 601C 144g 651g
588C 47% 275C 956g 329g
42% 949g 901g 664C 572C
811C 542g 640C 859g 58%
428C 297g 294C 56% 125C
253C 71C 80% 719g 367C
203g 29% 786g 594C 59%
8% 6% 513g 730C 947g
658C 78% 107C 19% 7C
175g 2% 308g 626g 86C
106C 123g 751g 501g 410C
392C 0C 150C 381C 287g
328g 951C 718C 423C 14%
82% 807g 129g 294C 8%
78g 126g 760C 86% 184g
82% 639C 848g 444C 55C
485C 283g 246C 555C 42%
50% 789g 550C 6% 14%
914g 58% 109C 30% 281g
216C 60% 763C 23% 399g
970g 777C 129C 12C 417g
79% 979C 237C 18% 995g
524C 99% 711C 643g 0%
632g 96g 18% 53% 763g
286g 94% 835C 4% 337C
315C 617g 98% 780C 6C
35C 23g 52% 709C 825g
756C 71% 80C 485g 989g
544C 388C 970g 41% 379C
18% 838g 250g 60% 488C
135C 24% 38% 113C 847C
962g 110C 257C 40% 46%
299C 289C 46% 784g 850g
43g 868g 92% 676g 253g
463g 19% 269g 709C 680C
232C 500g 820g 413C 29g
228C 250C 744g 618C 804g
647g 439C 193g 48% 770g
850g 859g 29% 148g 32%
906g 54% 13% 303C 22%
211C 26% 16% 64g 16%
816C 541g 78g 59g 765C
404g 967C 32% 408C 676g
294g 51% 1% 644C 780g
93% 898C 328C 6% 202g
138g 649g 68% 2% 0%
-
14% 40% 0% 43% 2%
60% 507C 964g 55C 37%
842g 683C 368g 46% 937g
159g 87% 42C 775g 710C
386C 97% 417g 728g 117g
58% 10% 259C 109C 335g
30g 2% 716C 813g 874C
306g 394g 6% 817C 339C
52% 893C 26% 5C 913C
302g 187C 361g 101C 748g
50C 39% 52% 311C 680g
912C 552C 3% 661g 250C
252C 871C 557C 48% 111g
337g 54% 661C 22% 342C
326g 139C 64% 33% 902g
4% 380C 946g 160g 300g
142C 488g 619g 412g 25%
48% 360C 382g 929g 902g
786g 37% 534g 809g 51%
669C 51% 173C 658C 764C
339C 86% 503g 6% 7%
67% 37g 633C 292g 23%
255C 400g 147C 777g 59%
992C 457g 902C 347g 44%
861C 492g 368g 21% 39%
287C 780C 586C 13% 436C
609g 74% 759C 15% 660C
84% 835g 12% 158C 215g
88% 661g 2% 0% 2%
631C 17% 9% 187C 934C
140g 72% 451g 22% 4%
392C 953C 802C 52% 3%
91% 538g 944C 3% 545C
34% 26% 365g 15% 6%
697C 83g 403C 850g 92%
21C 191C 495g 39% 40%
757g 726C 65% 650C 690C
622C 958g 90% 5% 3%
797g 75% 53C 4% 558g
533C 10% 970g 350C 70%
80% 780g 831C 19% 763g
19g 512C 54% 969C 762g
587C 196C 554g 129g 138g
296g 55% 608C 600C 718C
878g 28% 59% 7% 317C
685C 69C 707C 399C 879g
18% 607C 956g 62% 74g
976C 219C 46% 839C 212g
128g 765g 130C 72% 661C
18% 283C 26% 48% 4%
551C 26g 784C 530C 79%
484C 991C 809C 74C 2C
737g 866g 501C 611C 43%
67% 643g 322C 617g 107g
98% 8g 1% 762g 0%
354g 240C 59% 446C 26%
38% 49% 250C 11% 467C
16% 865g 406C 441C 325C
988g 831g 251g 969g 13%
791g 916C 86% 995C 1%
473C 79% 977g 16% 2%
62% 18% 425C 635g 5%
5% 653g 281g 39C 591C
91g 130g 55% 20% 526g
577g 415g 433C 389C 939C
370g 694C 70% 414g 604C
38% 421g 15% 36% 9%
999g 96% 938C 958g 502g
825C 146C 47% 2% 77C
18% 2% 77% 616C 349C
21% 905C 466g 751C 875C
26C 830g 25% 88C 443C
576g 86% 901g 12% 289C
518C 96% 332C 620C 0%
-
18C 222C 825g 983C 447g
78% 387C 162g 15% 2%
902C 743g 50% 298g 950C
29% 398g 44% 12% 878g
49% 163C 38% 4% 1%
114g 220g 290C 168C 107C
439g 440g 493C 117C 151g
8% 79% 941g 101C 339g
46% 126g 8% 5% 710g
655C 290C 42C 103C 788g
211g 811C 71% 591g 196g
87C 36% 662C 334C 49%
404C 897C 96g 829C 156C
158C 65% 386C 74g 61C
908g 766C 66g 49% 935g
97% 334C 2% 690C 0%
185g 214C 14% 4% 32%
864C 54% 186g 762C 20%
25% 389C 20% 442C 992g
9% 21% 380g 27C 324C
474C 499g 170C 752C 325C
982C 98% 663g 147g 32C
34% 21g 616C 938C 826C
305C 3% 732C 95% 258g
12% 523g 84% 0% 348g
307C 58C 437g 433C 23g
990g 911C 485g 472g 31%
905g 675g 58% 27% 454g
60% 601C 1% 397C 25%
86% 13% 902g 0% 323C
456g 125g 8% 122g 230C
346g 690g 913C 37% 7C
83% 507C 10% 826g 135C
18% 377g 25% 830C 417g
74% 955C 415g 949C 179C
856C 801g 150g 476C 738C
126g 2% 403C 593C 475C
98% 127g 0% 174g 647C
323g 967g 218C 226g 446C
305g 972C 779g 137C 664g
736C 66% 321g 109g 352C
201C 60% 856C 990g 525C
46% 712C 43C 27% 216g
97% 1% 871C 399g 1%
90C 31% 75g 533g 70C
205g 946C 191C 760g 73%
58% 633g 785g 797g 190g
-
280C 771C 28% 4% 13%
50% 929C 42% 0% 143g
347g 94% 3g 788g 3%
181g 41% 112g 63g 567C
15% 246C 289C 514C 327g
130C 875C 666g 480C 771C
42% 403g 51% 56g 6%
917g 45% 758g 953C 307C
633g 8% 17C 92C 36%
475g 72% 157g 745C 17%
541C 58% 15% 424C 15%
72% 872g 38g 806g 91C
50C 9% 61% 755g 484g
189C 979g 216g 215C 455C
76% 9% 811g 10% 810C
556g 257g 86% 235C 3C
149g 450C 840C 397g 11C
815g 184g 93% 727g 0%
974C 1% 190C 39% 828C
201g 888C 810g 22C 136C
764g 177g 55g 47% 6%
72% 5% 168C 361g 509C
557C 19% 66g 878g 55%
825g 669C 57% 625g 1%
269C 469g 304C 190C 51%
207g 762C 6% 760C 46%
51% 20% 800g 10% 4%
662C 235g 106C 120g 557g
700g 732g 195C 42% 375g
13C 60% 20% 446C 638g
554C 71% 431C 5% 579C
227C 707g 94C 2% 50%
703g 8% 356C 27% 10g
78% 914C 353C 380g 954g
978C 238C 845g 644C 73%
28% 837C 591g 149C 700g
532g 723g 29% 9% 18%
20% 336C 63% 95C 8%
737C 48C 2% 79% 909C
63% 36% 593C 319C 0%
245C 33% 777C 24% 35%
92C 612g 65% 131g 70g
715C 86% 423g 957g 221C
582g 222C 752g 89g 71%
18g 227g 455C 749g 134C
83% 704C 1% 649C 223g
639g 93% 0% 213C 364g
956C 752C 717C 80% 10%
286C 68% 403C 471C 778g
978g 555g 279C 868C 799g
282C 19% 291g 594g 39%
89% 2% 837C 604C 1%
58% 800C 191g 246g 276C
996g 153g 945g 56% 19%
688C 9% 619g 456g 958C
6% 58% 34% 541g 1%
26% 728C 737C 0% 565g
9% 505g 624C 52% 12%
731C 96% 63C 510g 58g
775C 358C 65% 24% 593g
37% 699g 224C 518g 109C
25% 523C 41g 551C 896C
191C 294C 878g 97% 0%
853g 296g 789g 933g 618g
877C 586g 916g 92% 2%
428g 315C 975C 834C 5%
914C 734g 415C 435g 82%
94% 2% 813g 11g 631C
149g 320C 34% 361C 50%
12C 177g 449C 621g 645g
37% 216C 53% 349C 0%
381g 391g 7% 701g 77%
87% 559C 310C 10% 244g
87g 849g 718C 88% 4%
399g 69% 951g 669g 13%
677C 79% 13% 949g 673g
218g 27% 120C 96g 43%
839g 6% 62% 589g 114C
297C 774C 81% 17% 0%
876g 55% 627C 17% 236g
336g 236C 687C 604C 73g
166C 63% 451g 766C 278g
64% 13% 111g 399C 316g
132g 414g 499C 365C 730C
526g 65% 837g 27% 589g
8C 123C 77% 215g 451g
415g 888C 656C 282C 194g
165g 909g 62% 51g 701C
768g 46% 32% 21% 103C
486g 15% 699g 465g 246C
994C 381g 145g 53% 4%
89% 468C 358g 2% 459g
67% 19% 672g 907g 515C
50% 916g 14% 78C 26%
524C 189g 34% 65% 735g
61% 958C 590C 4% 121g
650g 59% 38% 331g 145g
10g 40% 365g 100C 574C
27% 49% 683C 168g 21%
-
831g 122C 70% 81g 294C
717C 115g 681g 17% 768C
826C 947C 91% 884C 1%
971C 142g 394g 595g 972C
202C 205C 959C 10% 485C
885g 786g 380C 17% 385g
142C 275C 54% 34% 849g
991C 267C 20% 786g 67%
213g 287g 29% 680C 932C
77% 127C 3% 6% 735g
543g 31C 26% 389C 71%
35g 441g 604g 342C 17%
702g 53C 450g 463g 786g
57% 276g 5% 992C 18g
178C 84% 80g 742g 876C
49g 57C 60% 571g 88g
773g 38g 186g 55% 33%
62% 79C 563C 790C 582g
16% 597g 86g 584g 285C
18% 970C 812C 52% 39g
493g 644C 151g 84g 64%
59% 23% 257g 619g 14%
515C 67% 28% 1% 652C
971C 690g 70% 27% 486C
876C 276g 706C 72% 27%
286C 347g 432C 37% 247g
515C 287C 538C 98% 1%
512g 681C 322g 26C 417g
21% 700g 9g 498C 614C
88% 316g 38C 636g 975C
24C 646C 628C 797C 67%
111C 622C 9% 647C 482C
604g 94C 1% 478g 272g
592g 941g 54% 45% 927C
70C 67C 2% 28C 935g
815C 84% 4% 746g 774g
48% 315g 957C 662g 524g
95g 980g 640g 943C 383C
31% 123C 68% 253C 282g
224C 746g 824g 264C 923g
428C 36% 886g 46% 396C
-
279C 239g 336g 52% 161g
119g 877C 69C 27% 2%
88% 504C 465C 743C 0%
411g 650C 759C 529C 233g
94% 639g 418g 156g 968g
65% 943C 458g 901g 759g
327g 846g 524g 19C 468g
49% 660g 27% 501g 476C
11% 830g 663C 967C 194C
151g 600C 202g 602g 531C
178C 236C 420C 917g 470g
743g 740C 940g 66% 16%
38% 3% 820g 10% 112C
96% 927C 481g 60C 973g
496g 15% 993C 72% 5%
23g 88% 149C 7% 435C
512g 54% 768C 843g 238g
710C 236C 323C 234C 493g
979g 60% 877g 128C 327g
140g 898g 631g 634g 95%
42% 959g 884g 812g 9%
872C 173C 100g 246g 31%
495C 766g 522g 60g 24%
81% 466g 449g 326C 172C
270C 260C 528g 550C 940C
53C 104C 80% 568g 136g
53% 42% 914g 3% 1%
20% 941C 58% 192g 948C
29% 271C 56% 0% 11%
885C 74% 2% 4% 181C
42% 996C 3% 657C 8%
61% 959g 36% 687g 224g
33% 37% 710g 596g 307C
72g 34% 37g 964g 948g
652g 32% 445g 94g 975g
20% 429g 28% 620g 50%
45% 129g 22% 150C 16%
83g 659g 476C 415g 940g
42% 403C 819C 20% 687g
718C 28% 59% 367g 0%
363g 446g 71% 7% 3%
82% 632C 6% 609C 242g
218C 81g 12% 590C 110C
812g 113g 48% 884g 776C
449C 73% 25% 0% 73g
353C 91% 8% 0% 0%
541C 70% 957C 391g 148g
275g 429g 679g 893C 85%
394g 57% 33% 9% 833g
3% 723g 732g 943g 93%
643g 394g 706g 654C 341C
565C 930C 921C 924g 169g
138g 835g 198C 45% 43g
290g 28% 48% 21% 1%
57C 187g 76% 398g 7%
61% 292g 575g 8% 689C
47% 998C 15g 22% 932C
927C 48% 681g 927g 280C
50% 863g 141C 190g 315C
368C 10% 390g 180C 701C
998C 53% 6% 20% 917g
876C 1% 66% 882g 303C
36g 12% 741C 175C 13%
737C 209g 254g 677g 83%
540C 67% 352C 540C 691C
136C 867g 325g 654C 34%
80% 15% 514C 299g 154C
491g 942C 340g 944C 585C
75C 714C 773C 255C 243g
38% 460g 965C 426g 871C
47% 275g 48% 240g 2%
703g 898C 217g 160g 2%
13% 78C 246C 452g 660g
53% 37g 41% 847C 229g
266C 320C 53% 28% 713g
320g 381C 504g 147g 52%
632C 67% 489g 831C 409C
34% 65% 543g 944g 668g
-
988g 56% 16% 238g 0%
28% 165C 238C 981g 894g
660g 90C 464C 10C 861g
21% 44% 293g 10% 796C
929g 206g 427g 931g 70%
153g 98g 49% 10% 26%
831C 203g 315g 539g 80%
442g 613C 108g 93% 152C
17% 198g 64% 934C 458C
92% 584g 1% 744g 0%
109g 786C 326g 66% 989C
586g 923C 26% 1% 867C
58% 14% 12% 445g 242C
29C 58% 777g 15% 9%
213C 13% 882C 666C 51g
612C 149C 4% 5% 90%
630g 19% 410C 377C 44g
29% 635C 99C 133C 887g
354g 846C 51C 13% 651C
337g 918C 975C 105g 503g
241C 112g 27C 98C 680g
97% 2% 890C 0% 313g
83g 31% 7% 682C 562C
18% 323C 32C 293C 45%
468g 64g 160C 49% 47%
655g 917C 0% 396g 45C
20% 466g 58% 46g 333C
21% 878C 810C 73% 797g
327g 0% 42% 37% 234g
0% 85% 950C 13% 779g
610g 5% 685C 879C 779g
982g 28% 703g 30% 912C
98% 0% 180g 771C 475C
301g 750C 77% 226g 7%
833g 816g 532g 136g 99C
92% 362g 984g 2% 144C
657C 762g 304C 546C 549g
887C 760g 48% 42% 215C
38% 14% 727g 546C 14C
551C 487g 783g 58g 73%
92% 693g 0% 248C 631g
216C 523g 573C 750C 181g
13% 140g 750g 86% 0%
119g 34% 28% 259g 594g
118g 163C 653g 97% 0%
520C 62% 10% 936g 9%
442g 40% 762C 279C 17%
967C 388C 461C 218C 445g
540C 497C 329C 720C 90%
8% 146g 160g 495C 13%
17C 312g 82% 13% 536g
77g 61% 831g 144C 508C
1% 32% 470C 860C 870g
810C 446g 45% 29% 181C
688g 916g 185g 92% 3C
67% 21C 55g 15g 1%
761C 478g 741C 39% 568g
-
256C 96g 120g 2% 90%
820g 76% 62g 4% 16%
90g 40% 88g 793g 884C
961g 700C 702C 4% 325g
459g 9% 902C 454g 86%
741g 178g 645g 250g 48g
555g 978C 770g 80% 437C
29% 603C 135g 562g 885C
125g 59% 560C 19% 842C
296g 683g 5g 8% 828C
96% 994C 48g 1% 71C
78g 273g 852g 593C 96%
97% 537C 271g 0% 32g
77% 123C 180C 504g 487C
884g 124g 107g 342C 103C
840C 335g 80% 271C 538C
980g 36% 38% 980g 758C
22C 88% 503C 475g 600g
88% 6% 1% 1% 29g
800C 286C 66% 957C 323g
617C 61g 196g 253C 762g
602g 997C 25% 548C 62%
478C 939C 252g 345C 555g
277g 717g 582C 255g 38%
92% 3% 2% 259g 2%
455g 36% 29% 34% 0%
314g 936g 221g 97% 1%
97% 480C 894C 164g 335C
26% 351g 536C 5% 34%
52% 344C 996g 610g 746g
33% 820g 864g 54% 219g
48% 35% 864C 904C 928g
885g 15% 472C 3% 160g
101C 542C 810g 339g 436g
894g 260g 939g 86% 548g
398g 499C 16C 728g 406C
410C 634C 33% 712C 41%
735g 88% 6% 471g 5%
226g 6% 0% 65% 1%
606g 314C 5% 84% 272g
321C 246C 54% 989g 32g
197C 737g 984C 529C 93g
40% 20% 292C 2% 19%
903C 33% 12% 74C 117C
735C 366C 22g 199C 88%
771g 991C 35% 48% 668C
264g 36% 426g 141C 9%
7% 925g 87% 28g 0%
435C 396g 12% 414C 22%
948C 358g 40C 902g 285C
792g 111C 570g 16C 2%
66% 840C 18% 646g 786C
668C 59C 323C 163C 633C
65% 693C 25% 4% 5%
731g 328g 445C 476g 30%
664g 53C 429g 527C 953g
93% 0% 147C 701C 1%
521g 45% 656C 645g 12%
451g 30% 879g 232C 804C
270g 4g 36% 699g 386C
56% 10% 5% 197C 279C
486C 87% 1% 128g 776g
358g 34% 960g 570g 865C
64C 216C 27C 996g 785C
912C 711C 40% 70C 174C
4% 14% 951g 666C 569g
829g 704C 835C 724C 8%
811C 132g 273C 77% 692g
42% 18% 0% 994C 112C
389C 548g 339C 77% 12%
276g 59g 57% 5% 27g
589g 475C 710C 468g 73%
-
562g 873g 917g 185g 879g
61% 18% 271C 4% 2%
398C 405g 778C 48% 245C
159g 959g 166g 345C 209C
74% 538C 893g 574g 16%
979C 91% 6% 808C 808C
530g 564C 352g 366C 82g
274C 450C 617g 78% 745g
16% 1% 813C 8% 70%
79% 857C 592C 27C 259C
37% 270g 402C 384C 432C
80C 206C 507g 76% 10%
774C 251C 373g 193g 505C
214C 42% 782g 76C 22%
0g 260C 111g 930C 356C
188C 354g 114C 38% 480C
816C 85% 882g 303g 8%
71% 489C 26% 1% 991g
4% 39% 674g 789g 516g
55% 315g 544g 18% 22%
731g 342g 168g 172g 218C
333g 47g 36% 933C 14%
695C 486C 87C 13% 75%
55C 158g 238g 240g 51%
278C 385g 160g 400C 48%
247g 80% 858g 820C 819C
97% 2% 624g 87C 476g
676g 923C 84% 435C 881g
375C 731g 917C 23% 18%
95% 69g 2% 0% 0%
48% 7% 7% 358g 640g
375C 719C 22% 48g 726g
-
922C 513C 502g 25% 174g
311C 157C 818g 593C 4%
685g 256C 846C 544g 71%
39% 32% 838C 26% 954C
654C 4% 500g 775C 12%
29% 28% 36% 0% 2%
171g 699C 237g 2% 32%
45% 173C 875g 48% 470g
382C 686C 337C 635C 66%
22% 77% 0% 863g 608C
163g 281g 59% 714g 863g
403g 636C 83% 746C 794g
51% 554C 37% 3% 462C
178g 41% 49% 320C 339C
916C 781g 184g 79% 487C
496g 445g 559g 258g 95%
166g 50C 86% 159g 800g
294g 944C 73% 243C 764g
229C 22% 662g 513g 816C
45% 39% 993g 7% 431g
54% 683C 504C 131C 861C
830g 859C 17% 138g 146g
91% 8% 590g 850C 0%
372C 710g 41% 417g 665C
872C 73g 200g 606g 173C
996g 96% 294g 1% 944C
129g 249g 28% 5% 368C
828C 918g 324C 92g 161C
683C 734g 794g 17% 172g
174g 134C 492C 71% 760g
72% 183g 489g 413g 438C
904g 437C 104C 67% 3%
39% 34% 7% 16% 3%
116C 136C 257g 807C 911C
950g 71% 806g 322C 154g
16C 552C 767C 903C 731g
751g 509C 98% 216C 789g
256C 647C 182g 207g 278g
83% 3% 8% 993g 929g
605C 275g 271g 33% 431g
19% 818C 367C 47% 209g
288C 698g 879g 69% 618g
652C 230C 42% 5% 6%
353g 172g 79% 876C 465C
154C 530C 0C 59g 338C
67% 956C 4% 550C 977C
55% 903C 206C 15% 3%
520C 793C 992g 63% 767C
32% 844C 636g 739g 85g
430g 752C 872g 15% 745C
782g 340g 19g 74g 736C
388g 428C 910C 346C 604C
70C 75% 719g 485g 19%
486C 99% 704g 512C 0%
972C 69% 76g 23% 33g
205g 807g 630g 780g 12%
49C 551C 78% 818C 738C
942C 67% 814g 20% 8%
757C 936g 704C 443C 85%
611g 907C 386g 22% 79C
830C 74% 437C 793g 424C
65% 586g 34% 571C 128C
798C 46% 254C 794C 92g
940g 247g 24% 70% 921g
80% 965C 292C 10% 6%
-
757C 675C 35% 961C 952g
855C 785g 451C 780g 743C
953C 28% 379C 34g 550g
823C 6% 60% 710g 5%
25% 241g 38% 16% 865g
533g 763C 843g 5% 29%
402g 67% 30% 802g 884g
91% 75C 4% 3% 235g
986g 17% 829g 595C 642C
94% 652g 257g 0% 2%
422g 203C 71% 115C 833g
146g 119C 72% 479g 487C
255g 519C 946C 75% 188C
698C 59% 460g 3% 7%
927g 135g 96% 3% 627C
997C 120g 90% 997C 123g
790g 147C 428C 332C 888g
225C 196g 565C 20% 820g
452C 981g 38C 43% 942C
20% 993C 45% 19% 11%
533C 734g 621g 322g 65%
40% 4% 293C 17% 12%
808g 75% 380C 1% 379g
979g 69% 6% 366C 583g
163C 652g 949g 881C 286g
190g 279C 47% 578g 720C
782g 222g 765C 494g 237g
66% 205C 12% 18% 105g
84% 801C 8% 4% 574C
400g 847g 712g 543C 48%
41% 237C 42% 405C 4%
64% 1% 184C 12% 112C
56% 652C 487C 41% 2%
515C 88% 219C 922C 35C
486C 27% 24% 664g 11%
429C 90% 6% 502g 160g
731g 802C 427g 49% 1%
60% 36% 2% 551C 791g
19% 255C 6C 339C 38%
989C 74% 24% 0% 1%
142g 644C 955g 636C 65%
233C 99% 0% 881g 0%
84% 167g 998g 415C 180g
676g 39% 6C 795g 853g
421g 949g 927g 130g 780g
143C 554g 178C 85% 420C
16C 892g 21% 754g 56%
81% 45C 438g 325C 781C
619g 173g 38% 5% 26%
41% 55% 425g 632C 42g
138g 42% 706g 22% 604C
41% 918C 749g 29% 480C
735g 88C 407g 160g 44C
67% 277C 718C 845g 367C
20% 25% 574C 996g 29%
67% 854g 781C 21C 24%
847g 52% 785C 812C 25%
432g 39% 34% 9% 662C
489g 37% 886C 54% 5%
677C 935g 388C 4% 55g
732C 427g 944g 90% 48g
474g 882C 584g 233g 380g
52% 561g 47% 0% 502g
1% 47% 411g 0% 41%
53% 4% 218g 760g 285C
49% 254g 14% 612g 41C
107g 53g 175g 615g 365C
319C 652g 411C 873C 23%
16C 999g 87C 15% 820g
517g 56% 41% 2% 631C
58% 0% 41% 233C 0%
519C 333C 448C 850g 823g
25% 655C 615C 39% 313C
60% 950C 386C 975g 389g
528C 964C 31% 14% 480C
4g 4% 938g 512g 527g
2% 201g 61% 285g 206C
435g 287g 99% 516g 0%
796C 854C 20% 173g 99g
61% 39C 606g 949C 33%
23% 594g 199g 34% 530g
63% 31% 32C 0% 997g
609C 567g 873g 10% 50%
83% 821g 7C 875g 16%
177g 437g 124g 36% 378C
404C 297g 635C 97% 1%
371g 364g 362C 269g 764C
995g 15% 15% 605C 282g
87% 970C 658g 759g 954C
75% 893C 222C 215g 196g
-
192C 19% 639C 19% 845g
380g 40% 190g 727C 504C
472g 429C 107C 79% 4%
502g 137g 105C 36% 921C
308C 613C 21% 746g 75%
237C 35% 43% 12% 3%
388C 67% 720C 22% 615C
